seqno,configno,fitnessScore,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
6462,1599,97,20 64 1,FALSE,TRUE,TRUE,30,100,20
6463,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6464,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6464,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6465,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6466,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6467,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6467,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6468,2597,82.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
6468,2598,82.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
6469,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6469,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6470,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6470,1954,83.5,20 64 1,FALSE,FALSE,FALSE,30,0,20
6470,1959,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.1,20
6470,1964,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.5,20
6470,1969,83.5,20 64 1,FALSE,FALSE,FALSE,30,10,20
6471,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6471,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6472,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6473,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6473,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6474,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6475,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6475,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6476,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6477,1599,107,20 64 1,FALSE,TRUE,TRUE,30,100,20
6478,1599,86.95975,20 64 1,FALSE,TRUE,TRUE,30,100,20
6479,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6479,1954,83.5,20 64 1,FALSE,FALSE,FALSE,30,0,20
6479,1959,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.1,20
6479,1964,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.5,20
6479,1969,83.5,20 64 1,FALSE,FALSE,FALSE,30,10,20
6480,1724,79.5455,20 64 1,FALSE,TRUE,FALSE,30,100,20
6481,1597,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6481,1598,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6482,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6483,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6483,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6484,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6485,1724,77.9165,20 64 1,FALSE,TRUE,FALSE,30,100,20
6486,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6486,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6487,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6488,1597,82.609,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6488,1598,82.609,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6489,1597,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6489,1598,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6490,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6490,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6491,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6492,1629,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0,0,20
6492,1634,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0,0.1,20
6492,1639,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0,0.5,20
6492,1654,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.1,0,20
6492,1659,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.1,0.1,20
6492,1664,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.1,0.5,20
6492,1679,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.5,0,20
6492,1684,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.5,0.1,20
6492,1689,164.4090909091,20 64 1,FALSE,TRUE,FALSE,0.5,0.5,20
6493,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6494,1974,97,20 64 1,FALSE,FALSE,FALSE,30,100,20
6495,1847,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6495,1848,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6496,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6497,1847,132.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6497,1848,132.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6498,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6498,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6499,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6499,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6500,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6501,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6501,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6502,1599,86.187,20 64 1,FALSE,TRUE,TRUE,30,100,20
6503,1597,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6503,1598,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6504,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6504,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6505,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6505,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6506,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6507,1597,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6507,1598,123.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6508,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6508,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6509,1599,106.33325,20 64 1,FALSE,TRUE,TRUE,30,100,20
6510,1849,93.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6511,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6512,2599,93.5,no,FALSE,TRUE,TRUE,30,100,20
6513,1847,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6513,1848,122.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6514,1724,79.8435,20 64 1,FALSE,TRUE,FALSE,30,100,20
6515,2599,113.5,no,FALSE,TRUE,TRUE,30,100,20
6516,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6516,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6517,1974,86.52825,20 64 1,FALSE,FALSE,FALSE,30,100,20
6518,1724,79.9265,20 64 1,FALSE,TRUE,FALSE,30,100,20
6519,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6519,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6520,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6520,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6521,1724,79.7095,20 64 1,FALSE,TRUE,FALSE,30,100,20
6522,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6523,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6524,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6525,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6525,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6526,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6526,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6527,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6528,1597,133.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6528,1598,133.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6529,1847,142.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6529,1848,142.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6530,2597,122.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
6530,2598,122.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
6531,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6531,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6532,2597,3222.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
6532,2598,3222.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
6533,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6534,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6535,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6536,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6536,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6537,1599,97,20 64 1,FALSE,TRUE,TRUE,30,100,20
6538,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6539,2599,93.5,no,FALSE,TRUE,TRUE,30,100,20
6540,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6540,1954,83.5,20 64 1,FALSE,FALSE,FALSE,30,0,20
6540,1959,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.1,20
6540,1964,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.5,20
6540,1969,83.5,20 64 1,FALSE,FALSE,FALSE,30,10,20
6541,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6542,2597,3222.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
6542,2598,3222.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
6543,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6544,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6545,1629,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0,0,20
6545,1634,160.4565217391,20 64 1,FALSE,TRUE,FALSE,0,0.1,20
