seqno,configno,distance,medianpercid,medianeval,hits,fitnessScore
1786,1724,0,99.373,0,2,89.6865
1789,1724,0,100,0,1,80
1792,1724,0,99.242,0,1,79.621
1808,1724,0,99.372,0,1,79.686
1824,1724,0,100,0,1,80
1826,1724,0,100,0,1,80
1828,1724,0,99.69,0,1,79.845
1831,1724,0,99.655,0,1,79.8275
1834,1724,0,100,0,1,80
1841,1724,0,100,0,2,90
1844,1724,0,100,0,3,100
1847,1724,0,99.548,0,1,79.774
1848,1724,0,99.6415,0,2,89.82075
1850,1724,0,100,0,1,80
1853,1724,0,99.709,0,1,79.8545
1855,1724,0,100,0,1,80
1856,1724,0,99.715,0,1,79.8575
1860,1724,0,100,0,1,80
1861,1724,0,100,0,1,80
1862,1724,0,100,0,1,80
1867,1724,0,100,0,1,80
1871,1724,0,100,0,1,80
1874,1724,0,100,0,1,80
1877,1724,0,99.708,0,1,79.854
1888,1724,0,100,0,1,80
1889,1724,0,100,0,1,80
1892,1724,0,100,0,2,90
1897,1724,0,100,0,1,80
1901,1724,0,100,0,1,80
1902,1724,0,100,0,1,80
1903,1724,0,99.705,0,1,79.8525
1905,1724,0,100,0,1,80
1909,1724,0,100,0,1,80
1913,1724,0,99.716,0,1,79.858
1918,1724,0,100,0,1,80
1919,1724,0,100,0,1,80
1920,1724,0,100,0,1,80
1929,1724,0,100,0,1,80
1930,1724,0,99.845,0,1,79.9225
1933,1724,0,99.845,0,1,79.9225
1940,1724,0,99.85,0,1,79.925
1946,1724,0,99.846,0,1,79.923
1948,1724,0,100,0,3,100
1958,1724,0,100,0,1,80
1959,1724,0,100,0,1,80
1961,1724,0,100,0,1,80
1963,1724,0,100,0,1,80
1964,1724,0,99.736,0,1,79.868
1965,1724,0,100,0,1,80
1969,1724,0,99.43,0,1,79.715
1971,1724,0,100,0,3,100
1973,1724,0,99.393,0,1,79.6965
1979,1724,0,94.737,0,1,77.3685
1980,1724,0,99.846,0,1,79.923
1982,1724,0,100,0,1,80
1984,1724,0,100,0,1,80
1985,1724,0,99.685,0,1,79.8425
1994,1724,0,100,0,1,80
1996,1724,0,99.65,0,1,79.825
1999,1724,0,100,0,1,80
2002,1724,0,100,0,1,80
2010,1724,0,100,0,1,80
2015,1724,0,99.8915,0,2,89.94575
2021,1724,0,100,0,1,80
2022,1724,0,100,0,3,100
2026,1724,0,100,0,1,80
2027,1724,0,100,0,1,80
2030,1724,0,94.993,0,2,87.4965
2032,1724,0,100,0,1,80
2035,1724,0,100,0,1,80
2036,1724,0,99.749,0,1,79.8745
2038,1724,0,100,0,1,80
2041,1724,0,100,0,1,80
2044,1724,0,100,0,1,80
2047,1724,0,100,0,1,80
2049,1724,0,99.285,0,1,79.6425
2053,1724,0,100,0,1,80
2058,1724,0,100,0,1,80
2059,1724,0,100,0,1,80
2062,1724,0,100,0,1,80
2064,1724,0,100,0,1,80
2077,1724,0,100,0,1,80
2081,1724,0,91.538,0,1,75.769
2082,1724,0,100,0,1,80
2083,1724,0,99.387,0,1,79.6935
2089,1724,0,100,0,1,80
2095,1724,0,100,0,2,90
2101,1724,0,93.925,0,2,86.9625
2103,1724,0,100,0,1,80
2111,1724,0,100,0,1,80
2116,1724,0,100,0,1,80
2117,1724,0,98.876,0,1,79.438
