configno,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
363,yes,TRUE,FALSE,TRUE,100,0.5,0.5
364,yes,TRUE,FALSE,TRUE,100,0.5,20
365,yes,TRUE,FALSE,TRUE,100,0.5,100
366,yes,TRUE,FALSE,TRUE,100,10,0
367,yes,TRUE,FALSE,TRUE,100,10,0.1
368,yes,TRUE,FALSE,TRUE,100,10,0.5
369,yes,TRUE,FALSE,TRUE,100,10,20
370,yes,TRUE,FALSE,TRUE,100,10,100
371,yes,TRUE,FALSE,TRUE,100,100,0
372,yes,TRUE,FALSE,TRUE,100,100,0.1
373,yes,TRUE,FALSE,TRUE,100,100,0.5
374,yes,TRUE,FALSE,TRUE,100,100,20
375,yes,TRUE,FALSE,TRUE,100,100,100
376,yes,TRUE,FALSE,FALSE,0,0,0
377,yes,TRUE,FALSE,FALSE,0,0,0.1
378,yes,TRUE,FALSE,FALSE,0,0,0.5
379,yes,TRUE,FALSE,FALSE,0,0,20
380,yes,TRUE,FALSE,FALSE,0,0,100
381,yes,TRUE,FALSE,FALSE,0,0.1,0
382,yes,TRUE,FALSE,FALSE,0,0.1,0.1
383,yes,TRUE,FALSE,FALSE,0,0.1,0.5
384,yes,TRUE,FALSE,FALSE,0,0.1,20
385,yes,TRUE,FALSE,FALSE,0,0.1,100
386,yes,TRUE,FALSE,FALSE,0,0.5,0
387,yes,TRUE,FALSE,FALSE,0,0.5,0.1
388,yes,TRUE,FALSE,FALSE,0,0.5,0.5
389,yes,TRUE,FALSE,FALSE,0,0.5,20
390,yes,TRUE,FALSE,FALSE,0,0.5,100
391,yes,TRUE,FALSE,FALSE,0,10,0
392,yes,TRUE,FALSE,FALSE,0,10,0.1
393,yes,TRUE,FALSE,FALSE,0,10,0.5
394,yes,TRUE,FALSE,FALSE,0,10,20
395,yes,TRUE,FALSE,FALSE,0,10,100
396,yes,TRUE,FALSE,FALSE,0,100,0
397,yes,TRUE,FALSE,FALSE,0,100,0.1
398,yes,TRUE,FALSE,FALSE,0,100,0.5
399,yes,TRUE,FALSE,FALSE,0,100,20
400,yes,TRUE,FALSE,FALSE,0,100,100
401,yes,TRUE,FALSE,FALSE,0.1,0,0
402,yes,TRUE,FALSE,FALSE,0.1,0,0.1
403,yes,TRUE,FALSE,FALSE,0.1,0,0.5
404,yes,TRUE,FALSE,FALSE,0.1,0,20
405,yes,TRUE,FALSE,FALSE,0.1,0,100
